        PosP R         PosP T         PosP N         VelP R         VelP T         VelP N        X S Cov        Y S Cov 
    -0.0808548     -0.9139635     -1.7052873      0.7336281     -0.7238736     -0.9524260      3.2029802      2.2965191 
    -0.0808548     -0.9139635     -1.7052873     -0.3774333      0.1788057     -1.3641180      3.3306500      2.2497094 
    -0.0808548     -0.9139635     -1.7052873      0.0764847     -0.7311128      0.0922180      3.0193406      2.3814920 
    -0.0808548     -0.9139635     -1.7052873      0.1277367     -0.6869018      0.3085786      2.9825879      2.4017274 
    -0.0808548     -0.9139635     -1.7052873      1.6222729     -0.3782165     -3.1036174      3.7080952      2.1490353 
    -0.0808548     -0.9139635     -1.7052873     -0.5604022      0.9914590     -0.5960507      3.1952779      2.2996246 
    -0.0808548     -0.9139635     -1.7052873     -0.1078823      0.3836573     -0.6315848      3.1807712      2.3055700 
    -0.0808548     -0.9139635     -1.7052873      1.3859695      0.6237200     -2.1690831      3.4706260      2.2068461 
    -0.0808548     -0.9139635     -1.7052873     -0.2564538     -0.9402704     -2.3845876      3.5663148      2.1815945 
    -0.0808548     -0.9139635     -1.7052873     -0.6280603      0.5037364      0.0099545      3.0792352      2.3510447 
    -0.0808548     -0.9139635     -1.7052873     -0.0061508      0.7662335      0.0601554      3.0649064      2.3580618 
    -0.0808548     -0.9139635     -1.7052873     -1.7794680      0.1889974      1.5000370      2.8612874      2.4786021 
    -0.0808548     -0.9139635     -1.7052873     -0.0858940     -0.0858739     -1.9806662      3.4607127      2.2096356 
    -0.0808548     -0.9139635     -1.7052873     -1.6638093      1.9464579      0.6429780      3.0311127      2.3752698 
    -0.0808548     -0.9139635     -1.7052873      1.5644337     -1.1434567     -0.8092336      3.1454320      2.3206024 
    -0.0808548     -0.9139635     -1.7052873      0.2504874     -0.0197330     -1.9360785      3.4416272      2.2151045 
    -0.0808548     -0.9139635     -1.7052873     -1.8323521      1.1467287      1.7538432      2.8567438      2.4818287 
    -0.0808548     -0.9139635     -1.7052873     -0.9432815      0.1453613      2.9585429      2.6657179      2.6484615 
    -0.0808548     -0.9139635     -1.7052873     -1.4198507     -0.4350336      1.7148465      2.8055616      2.5202098 
    -0.0808548     -0.9139635     -1.7052873     -0.6664507      0.1018116      2.0166751      2.7719442      2.5476407 
    -0.0808548     -0.9139635     -1.7052873      1.0929001     -0.2317698      2.9170102      2.6292582      2.6890828 
    -0.0808548     -0.9139635     -1.7052873      0.6586375     -0.2929351      0.5833268      2.9395188      2.4271260 
    -0.0808548     -0.9139635     -1.7052873      1.6723824     -1.0549887      0.5241480      2.9062432      2.4481213 
    -0.0808548     -0.9139635     -1.7052873      0.2292755     -0.4090800     -2.8163581      3.6694661      2.1573926 
    -0.0808548     -0.9139635     -1.7052873      0.5452649      0.5728002      3.1513807      2.6401497      2.6765749 
    -0.0808548     -0.9139635     -1.7052873     -0.1201551     -0.7987064      1.0927995      2.8598189      2.4796419 
    -0.0808548     -0.9139635     -1.7052873      0.1145296     -0.8699896     -1.5804590      3.3534457      2.2421839 
    -0.0808548     -0.9139635     -1.7052873      0.7432786      0.0882455     -1.7320694      3.3828663      2.2328020 
    -0.0808548     -0.9139635     -1.7052873      0.2579509      1.0795842     -0.0474700      3.0849644      2.3482835 
    -0.0808548     -0.9139635     -1.7052873     -1.7433007      2.9598973      0.7699424      3.0367492      2.3723333 
    -0.0808548     -0.9139635     -1.7052873      1.9552282     -1.3469840     -3.0979760      3.7051986      2.1496496 
    -0.0808548     -0.9139635     -1.7052873     -1.2606996      0.0466199     -1.0809300      3.2899032      2.2637532 
    -0.0808548     -0.9139635     -1.7052873     -0.5269255     -1.3684453      1.5251546      2.7843304      2.5373138 
    -0.0808548     -0.9139635     -1.7052873     -2.6746107      1.4659051      0.4728812      3.0643239      2.3583505 
    -0.0808548     -0.9139635     -1.7052873     -0.6299785      0.4210299      1.4601379      2.8550597      2.4830318 
    -0.0808548     -0.9139635     -1.7052873     -0.5213709     -0.1207474      0.2048748      3.0284757      2.3766531 
    -0.0808548     -0.9139635     -1.7052873      0.9807809     -1.5916118     -0.2486810      3.0376788      2.3718515 
    -0.0808548     -0.9139635     -1.7052873     -0.5048035     -0.6669659      1.4251995      2.8227048      2.5069221 
    -0.0808548     -0.9139635     -1.7052873      0.5109942     -0.8381869     -2.5391757      3.5854858      2.1768747 
    -0.0808548     -0.9139635     -1.7052873     -0.3520288     -1.1931331     -0.3522094      3.0975640      2.3422986 
    -0.0808548     -0.9139635     -1.7052873      0.8140002      2.3808456     -2.1524748      3.4888059      2.2018191 
    -0.0808548     -0.9139635     -1.7052873      0.2394776      0.0181145     -1.8274343      3.4168032      2.2224183 
    -0.0808548     -0.9139635     -1.7052873     -0.3610294     -0.1767368     -2.7030983      3.6543049      2.1607728 
    -0.0808548     -0.9139635     -1.7052873     -1.2573190     -1.0714413      1.6545048      2.7891849      2.5333376 
    -0.0808548     -0.9139635     -1.7052873     -0.2084302     -0.2131852      1.2538119      2.8569677      2.4816691 
    -0.0808548     -0.9139635     -1.7052873      0.0789788     -1.4142868      1.3156461      2.8022553      2.5228253 
    -0.0808548     -0.9139635     -1.7052873      0.9862257      0.2700961     -0.5237460      3.1352661      2.3250773 
    -0.0808548     -0.9139635     -1.7052873      1.6928113      0.4905634     -3.9065356      3.9336287      2.1066008 
    -0.0808548     -0.9139635     -1.7052873      0.1061749     -1.0800426      0.1943372      2.9909909      2.3969892 
    -0.0808548     -0.9139635     -1.7052873      0.5651559     -1.5837211      0.1780383      2.9691383      2.4094553 
    -0.0808548     -0.9139635     -1.7052873      1.2206149      0.1738453     -1.9292287      3.4163816      2.2225446 
    -0.0808548     -0.9139635     -1.7052873      1.5442710      0.8007408      1.3393441      2.8479840      2.4881291 
    -0.0808548     -0.9139635     -1.7052873     -0.0245276     -0.2488844      1.1474129      2.8679871      2.4738952 
    -0.0808548     -0.9139635     -1.7052873      0.3522395      0.0558767     -1.5507422      3.3518966      2.2426881 
